location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3163445,"colegio Bolivar","pm25",16.1,"µg/m³","2026-05-11T06:00:00Z","2026-05-11T01:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",15.3,"µg/m³","2026-05-11T07:00:00Z","2026-05-11T02:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",17.6,"µg/m³","2026-05-11T08:00:00Z","2026-05-11T03:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",16.3,"µg/m³","2026-05-11T09:00:00Z","2026-05-11T04:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",13.3,"µg/m³","2026-05-11T10:00:00Z","2026-05-11T05:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",10,"µg/m³","2026-05-11T12:00:00Z","2026-05-11T07:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",13.4,"µg/m³","2026-05-11T13:00:00Z","2026-05-11T08:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",17.7,"µg/m³","2026-05-11T14:00:00Z","2026-05-11T09:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",13.1,"µg/m³","2026-05-11T15:00:00Z","2026-05-11T10:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",12.2,"µg/m³","2026-05-11T16:00:00Z","2026-05-11T11:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",14.3,"µg/m³","2026-05-11T17:00:00Z","2026-05-11T12:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",18.5,"µg/m³","2026-05-11T18:00:00Z","2026-05-11T13:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",23.9,"µg/m³","2026-05-11T19:00:00Z","2026-05-11T14:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",23,"µg/m³","2026-05-11T20:00:00Z","2026-05-11T15:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",6.3,"µg/m³","2026-05-11T21:00:00Z","2026-05-11T16:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","pm25",6.7,"µg/m³","2026-05-12T00:00:00Z","2026-05-11T19:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","relativehumidity",54,"%","2026-05-11T01:00:00Z","2026-05-10T20:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","relativehumidity",54,"%","2026-05-11T02:00:00Z","2026-05-10T21:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","relativehumidity",54,"%","2026-05-11T03:00:00Z","2026-05-10T22:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
3163445,"colegio Bolivar","relativehumidity",55,"%","2026-05-11T04:00:00Z","2026-05-10T23:00:00-05:00","America/Bogota",3.3404994747523014,-76.5459849520779,,,,"Juan Carlos","AirGradient"
